order_id,site_id,part_id,request_date,fulfill_date,stockout_flag,qty
1,S001,P001,2025-03-06,2025-03-06,False,1
2,S001,P001,2025-03-07,2025-03-07,False,1
3,S001,P001,2025-03-08,2025-03-08,False,1
4,S001,P001,2025-03-11,2025-03-11,False,1
5,S001,P001,2025-03-14,2025-03-14,False,1
6,S001,P001,2025-03-15,2025-03-15,False,1
7,S001,P001,2025-03-17,2025-03-17,True,1
8,S001,P001,2025-03-21,2025-03-21,True,1
9,S001,P001,2025-03-22,2025-03-22,True,2
10,S001,P001,2025-03-23,2025-03-23,True,1
11,S001,P001,2025-03-26,2025-03-26,True,1
12,S001,P001,2025-03-29,2025-03-29,True,1
13,S001,P001,2025-03-30,2025-03-30,True,2
14,S001,P001,2025-04-01,2025-04-01,True,1
15,S001,P001,2025-04-02,2025-04-02,True,1
16,S001,P001,2025-04-04,2025-04-04,True,1
17,S001,P001,2025-04-18,2025-04-18,True,1
18,S001,P001,2025-04-23,2025-04-23,True,3
19,S001,P001,2025-04-24,2025-04-24,True,1
20,S001,P001,2025-04-25,2025-04-25,True,1
21,S001,P001,2025-04-26,2025-04-26,True,1
22,S001,P001,2025-04-27,2025-04-27,True,2
23,S001,P001,2025-04-28,2025-04-28,True,1
24,S001,P001,2025-04-29,2025-04-29,True,3
25,S001,P001,2025-05-02,2025-05-02,True,1
26,S001,P001,2025-05-05,2025-05-05,True,1
27,S001,P001,2025-05-09,2025-05-09,True,1
28,S001,P001,2025-05-12,2025-05-12,True,1
29,S001,P001,2025-05-14,2025-05-14,True,1
30,S001,P001,2025-05-15,2025-05-15,True,1
31,S001,P001,2025-05-17,2025-05-17,True,5
32,S001,P001,2025-05-19,2025-05-19,True,2
33,S001,P001,2025-05-22,2025-05-22,True,1
34,S001,P001,2025-05-26,2025-05-26,True,3
35,S001,P001,2025-05-29,2025-05-29,True,1
36,S001,P001,2025-06-01,2025-06-01,True,1
37,S001,P001,2025-06-03,2025-06-03,True,1
38,S001,P001,2025-06-06,2025-06-06,True,2
39,S001,P001,2025-06-10,2025-06-10,True,2
40,S001,P001,2025-06-11,2025-06-11,True,1
41,S001,P001,2025-06-12,2025-06-12,True,1
42,S001,P001,2025-06-13,2025-06-13,True,1
43,S001,P001,2025-06-14,2025-06-14,True,1
44,S001,P001,2025-06-16,2025-06-16,True,2
45,S001,P001,2025-06-17,2025-06-17,True,1
46,S001,P001,2025-06-18,2025-06-18,True,1
47,S001,P001,2025-06-19,2025-06-19,True,1
48,S001,P001,2025-06-21,2025-06-21,True,1
49,S001,P001,2025-06-22,2025-06-22,True,1
50,S001,P001,2025-06-24,2025-06-24,True,1
51,S001,P001,2025-06-25,2025-06-25,True,1
52,S001,P001,2025-06-26,2025-06-26,True,1
53,S001,P001,2025-06-27,2025-06-27,True,1
54,S001,P001,2025-07-03,2025-07-03,True,2
55,S001,P001,2025-07-05,2025-07-05,True,1
56,S001,P001,2025-07-07,2025-07-07,True,1
57,S001,P001,2025-07-10,2025-07-10,True,1
58,S001,P001,2025-07-12,2025-07-12,True,1
59,S001,P001,2025-07-16,2025-07-16,True,1
60,S001,P001,2025-07-19,2025-07-19,True,1
61,S001,P001,2025-07-20,2025-07-20,True,1
62,S001,P001,2025-07-21,2025-07-21,True,2
63,S001,P001,2025-07-22,2025-07-22,True,1
64,S001,P001,2025-07-26,2025-07-26,True,2
65,S001,P001,2025-07-27,2025-07-27,True,1
66,S001,P001,2025-07-29,2025-07-29,True,2
67,S001,P001,2025-07-31,2025-07-31,True,2
68,S001,P001,2025-08-02,2025-08-02,True,1
69,S001,P001,2025-08-05,2025-08-05,True,1
70,S001,P001,2025-08-06,2025-08-06,True,1
